"STATION","NAME","DATE","DX70","DX90","EMSN","EMXP","EMXT","SNOW","TAVG"
"USC00190736","BLUE HILL, MA US","1936-05","13","0","0.0","0.85","88","0.0","58.2"
"USC00190736","BLUE HILL, MA US","1936-06","23","0",,"0.72","82",,"64.1"
"USC00190736","BLUE HILL, MA US","1936-07","29","1",,"0.81","92",,"68.1"
"USC00190736","BLUE HILL, MA US","1936-08","26","0",,"2.75","89",,"68.3"
"USC00190736","BLUE HILL, MA US","1936-09","13","0",,"3.69","86",,"60.9"
"USC00190736","BLUE HILL, MA US","1936-10","5","0","0.0","1.34","75","0.0","51.1"
"USC00190736","BLUE HILL, MA US","1936-11","1","0","4.5","0.46","72","4.9","36.7"
"USC00190736","BLUE HILL, MA US","1936-12","0","0","0.0","1.69","55","0.0","32.6"
"USC00190736","BLUE HILL, MA US","1937-01","0","0","1.8","0.67","62","2.7","35.0"
"USC00190736","BLUE HILL, MA US","1937-02","0","0","0.3","0.63","56","0.4","30.9"
"USC00190736","BLUE HILL, MA US","1937-03","0","0","2.0","1.42","54","4.3","31.1"
"USC00190736","BLUE HILL, MA US","1937-04","0","0","0.0","1.80","69","0.0","43.0"
"USC00190736","BLUE HILL, MA US","1937-05","13","0",,"1.17","89",,"57.7"
"USC00190736","BLUE HILL, MA US","1937-06","21","1",,"1.41","90",,"65.0"
"USC00190736","BLUE HILL, MA US","1937-07","28","4",,"0.34","93",,"71.1"
"USC00190736","BLUE HILL, MA US","1937-08","28","4",,"1.29","93",,"72.4"
"USC00190736","BLUE HILL, MA US","1937-09","15","0",,"1.33","88",,"60.4"
"USC00190736","BLUE HILL, MA US","1937-10","1","0",,"1.74","73",,"49.8"
"USC00190736","BLUE HILL, MA US","1937-11","0","0","1.3","1.43","63","2.3","41.1"
"USC00190736","BLUE HILL, MA US","1937-12","0","0","2.5","1.54","51","5.6","28.2"
"USC00190736","BLUE HILL, MA US","1938-01","0","0",,,"55",,"25.4"
"USC00190736","BLUE HILL, MA US","1938-02","0","0","7.7","0.85","50","15.9","28.8"
"USC00190736","BLUE HILL, MA US","1938-03","2","0","0.6","0.93","89","1.6","37.5"
"USC00190736","BLUE HILL, MA US","1938-04","8","0","0.6","0.87","89","0.6","47.6"
"USC00190736","BLUE HILL, MA US","1938-05","4","0",,"1.61","79",,"54.3"
"USC00190736","BLUE HILL, MA US","1938-06","22","1",,"2.09","90",,"64.7"
"USC00190736","BLUE HILL, MA US","1938-07","26","0",,"2.09","87",,"69.9"
"USC00190736","BLUE HILL, MA US","1938-08","30","3",,"1.34","92",,"71.5"
"USC00190736","BLUE HILL, MA US","1938-09","18","0",,"1.47","80",,"60.5"
"USC00190736","BLUE HILL, MA US","1938-10","7","0",,"1.28","84",,"54.6"
"USC00190736","BLUE HILL, MA US","1938-11","4","0","9.5","0.85","75","14.1","43.8"
"USC00190736","BLUE HILL, MA US","1938-12","0","0","1.5","1.23","57","3.7","31.4"
"USC00190736","BLUE HILL, MA US","1939-01","0","0","2.3","1.08","52","10.7","25.9"
"USC00190736","BLUE HILL, MA US","1939-02","0","0","5.0","0.84","62","7.8","30.1"
"USC00190736","BLUE HILL, MA US","1939-03","0","0","9.3","1.27","54","25.0","31.2"
"USC00190736","BLUE HILL, MA US","1939-04","0","0","1.0","0.96","67","1.0","41.6"
"USC00190736","BLUE HILL, MA US","1939-05","14","0",,"0.91","89",,"56.0"
"USC00190736","BLUE HILL, MA US","1939-06","23","0",,"0.67","87",,"64.8"
"USC00190736","BLUE HILL, MA US","1939-07","31","3",,"0.70","93",,"70.2"
"USC00190736","BLUE HILL, MA US","1939-08","29","2",,"0.73","90",,"72.8"
"USC00190736","BLUE HILL, MA US","1939-09","16","1",,"0.86","91",,"61.5"
"USC00190736","BLUE HILL, MA US","1939-10","8","0",,"3.73","84",,"51.8"
"USC00190736","BLUE HILL, MA US","1939-11","0","0","2.1","1.19","58","2.4","37.8"
"USC00190736","BLUE HILL, MA US","1939-12","0","0","5.9","1.08","57","7.3","31.0"
"USC00190736","BLUE HILL, MA US","1940-01","0","0","2.1","1.88","49","8.5","19.3"
"USC00190736","BLUE HILL, MA US","1940-02","0","0","11.2","2.07","44","34.4","26.5"
"USC00190736","BLUE HILL, MA US","1940-03","0","0","0.9","1.20","61","1.9","29.4"
"USC00190736","BLUE HILL, MA US","1940-04","1","0","3.0","1.10","73","3.4","41.2"
"USC00190736","BLUE HILL, MA US","1940-05","9","0",,"1.12","76",,"54.6"
"USC00190736","BLUE HILL, MA US","1940-06","21","0",,"1.14","89",,"63.1"
"USC00190736","BLUE HILL, MA US","1940-07","27","3",,"1.45","91",,"69.6"
"USC00190736","BLUE HILL, MA US","1940-08","25","0",,"0.95","84",,"66.5"
"USC00190736","BLUE HILL, MA US","1940-09","16","0",,"1.71","83",,"61.0"
"USC00190736","BLUE HILL, MA US","1940-10","4","0","0.0","0.44","76","0.0","47.5"
"USC00190736","BLUE HILL, MA US","1940-11","1","0","9.1","1.41","71","9.7","39.7"
"USC00190736","BLUE HILL, MA US","1940-12","0","0","4.0","0.70","55","5.2","31.4"
"USC00190736","BLUE HILL, MA US","1941-01","0","0","12.5","1.26","42","25.8","22.6"
"USC00190736","BLUE HILL, MA US","1941-02","0","0","1.2","0.72","47","1.5","26.6"
"USC00190736","BLUE HILL, MA US","1941-03","0","0",,,"50",,"30.1"
"USC00190736","BLUE HILL, MA US","1941-04","10","0","0.0","0.75","87","0.0","50.0"
"USC00190736","BLUE HILL, MA US","1941-05","15","0","0.0","0.68","88","0.0","57.7"
"USC00190736","BLUE HILL, MA US","1941-06","19","3",,"1.39","92",,"65.8"
"USC00190736","BLUE HILL, MA US","1941-07","27","2",,"0.95","92",,"69.7"
"USC00190736","BLUE HILL, MA US","1941-08","29","1",,,"90",,"68.2"
"USC00190736","BLUE HILL, MA US","1941-09","21","1",,"0.82","91",,"64.0"
"USC00190736","BLUE HILL, MA US","1941-10","7","0",,"0.47","84",,"53.1"
"USC00190736","BLUE HILL, MA US","1941-11","1","0","0.0","0.89","72","0.0","45.6"
